"RecordID","Jurusan","Platform","PaketID"
653752,"Sains Data","LMS Kampus","ADK2-48C0073F"
824129,"Statistika","LMS Kampus","ADK2-48C0073F"
146805,"Sains Data","Google Meet","ADK2-48C0073F"
566132,"Sains Data","Zoom","ADK2-48C0073F"
225048,"Sistem Informasi","Google Meet","ADK2-48C0073F"
383479,"Statistika","Google Meet","ADK2-48C0073F"
537570,"Sistem Informasi","Zoom","ADK2-48C0073F"
849940,"Sistem Informasi","Zoom","ADK2-48C0073F"
531466,"Sistem Informasi","Zoom","ADK2-48C0073F"
235697,"Sistem Informasi","Google Meet","ADK2-48C0073F"
680581,"Statistika","Google Meet","ADK2-48C0073F"
130194,"Statistika","Google Meet","ADK2-48C0073F"
164635,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
484569,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
875541,"Sistem Informasi","Google Meet","ADK2-48C0073F"
837244,"Statistika","Zoom","ADK2-48C0073F"
996851,"Sistem Informasi","Zoom","ADK2-48C0073F"
859370,"Sains Data","LMS Kampus","ADK2-48C0073F"
690582,"Statistika","Zoom","ADK2-48C0073F"
583437,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
398435,"Sistem Informasi","Zoom","ADK2-48C0073F"
187898,"Sistem Informasi","Google Meet","ADK2-48C0073F"
940664,"Sistem Informasi","Google Meet","ADK2-48C0073F"
501416,"Statistika","Google Meet","ADK2-48C0073F"
538248,"Statistika","LMS Kampus","ADK2-48C0073F"
226194,"Sains Data","Google Meet","ADK2-48C0073F"
495797,"Sains Data","Zoom","ADK2-48C0073F"
122172,"Statistika","Google Meet","ADK2-48C0073F"
632545,"Statistika","Google Meet","ADK2-48C0073F"
757420,"Statistika","LMS Kampus","ADK2-48C0073F"
434634,"Sistem Informasi","Google Meet","ADK2-48C0073F"
726728,"Sistem Informasi","Google Meet","ADK2-48C0073F"
541145,"Statistika","Google Meet","ADK2-48C0073F"
511329,"Sistem Informasi","Google Meet","ADK2-48C0073F"
654683,"Statistika","Zoom","ADK2-48C0073F"
304102,"Sistem Informasi","Google Meet","ADK2-48C0073F"
400405,"Statistika","Zoom","ADK2-48C0073F"
982159,"Statistika","Google Meet","ADK2-48C0073F"
599824,"Statistika","Google Meet","ADK2-48C0073F"
388408,"Sistem Informasi","Zoom","ADK2-48C0073F"
841398,"Sains Data","Zoom","ADK2-48C0073F"
487287,"Sains Data","Google Meet","ADK2-48C0073F"
267954,"Sains Data","LMS Kampus","ADK2-48C0073F"
660583,"Sains Data","Google Meet","ADK2-48C0073F"
388000,"Sistem Informasi","Zoom","ADK2-48C0073F"
915131,"Sains Data","Google Meet","ADK2-48C0073F"
671850,"Sistem Informasi","Google Meet","ADK2-48C0073F"
743881,"Sains Data","Google Meet","ADK2-48C0073F"
787833,"Sistem Informasi","Google Meet","ADK2-48C0073F"
700340,"Sains Data","LMS Kampus","ADK2-48C0073F"
407883,"Statistika","Google Meet","ADK2-48C0073F"
901961,"Sains Data","LMS Kampus","ADK2-48C0073F"
103761,"Sains Data","Google Meet","ADK2-48C0073F"
335798,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
946867,"Sistem Informasi","Google Meet","ADK2-48C0073F"
271248,"Statistika","Zoom","ADK2-48C0073F"
189669,"Sains Data","LMS Kampus","ADK2-48C0073F"
940946,"Sains Data","Google Meet","ADK2-48C0073F"
381645,"Sains Data","Google Meet","ADK2-48C0073F"
342225,"Statistika","LMS Kampus","ADK2-48C0073F"
884952,"Sains Data","Zoom","ADK2-48C0073F"
133682,"Sains Data","Google Meet","ADK2-48C0073F"
506627,"Sistem Informasi","Google Meet","ADK2-48C0073F"
531348,"Sistem Informasi","Google Meet","ADK2-48C0073F"
276878,"Sains Data","Zoom","ADK2-48C0073F"
722645,"Sistem Informasi","Google Meet","ADK2-48C0073F"
785739,"Statistika","LMS Kampus","ADK2-48C0073F"
192052,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
850047,"Sistem Informasi","Google Meet","ADK2-48C0073F"
271497,"Sains Data","LMS Kampus","ADK2-48C0073F"
521807,"Sains Data","Google Meet","ADK2-48C0073F"
915341,"Statistika","LMS Kampus","ADK2-48C0073F"
654873,"Sains Data","Zoom","ADK2-48C0073F"
969798,"Sistem Informasi","Zoom","ADK2-48C0073F"
330885,"Statistika","LMS Kampus","ADK2-48C0073F"
768790,"Sistem Informasi","Google Meet","ADK2-48C0073F"
670713,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
999269,"Sistem Informasi","Zoom","ADK2-48C0073F"
718242,"Sains Data","LMS Kampus","ADK2-48C0073F"
208631,"Sistem Informasi","Google Meet","ADK2-48C0073F"
373739,"Sistem Informasi","Zoom","ADK2-48C0073F"
905400,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
933722,"Sistem Informasi","Google Meet","ADK2-48C0073F"
174492,"Sistem Informasi","Google Meet","ADK2-48C0073F"
941858,"Sains Data","Google Meet","ADK2-48C0073F"
512044,"Sains Data","Google Meet","ADK2-48C0073F"
991633,"Statistika","Google Meet","ADK2-48C0073F"
261227,"Sistem Informasi","Zoom","ADK2-48C0073F"
267561,"Sistem Informasi","Zoom","ADK2-48C0073F"
150852,"Sistem Informasi","Google Meet","ADK2-48C0073F"
423664,"Sistem Informasi","LMS Kampus","ADK2-48C0073F"
582388,"Sains Data","Google Meet","ADK2-48C0073F"
293297,"Sistem Informasi","Google Meet","ADK2-48C0073F"
